FY18/19 - CONDOMINIUM COMPARABLE PROPERTIES as of 01/05/2018  prepared on 02/01/2018,,,,,,,,,,,,,,,COMPARABLE RENTAL - 1,,,,,,,,,,,,,,,COMPARABLE RENTAL - 2,,,,,,,,,,,,,,,COMPARABLE RENTAL - 3,,,,,,,,,,,,,,
Boro-Block-Lot,Condominium,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-01438-7501,0001-R1,340 EAST 64 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,308,1965,"504,238","23,144,524",45.9,"7,598,867",15.07,"15,545,657","125,126,065",248.15,1-01422-0021,1283 2 AVENUE,UPPER EAST SIDE (59-79),D6  -ELEVATOR,181,1973,"348,130","15,544,005",44.65,"4,832,044",13.88,"10,711,961","75,626,000",217.23,0.24,1-01332-0029,240 EAST 59 STREET,MIDTOWN EAST,D6  -ELEVATOR,167,1983,"324,212","14,881,331",45.9,"4,885,875",15.07,"9,995,456","75,203,000",231.96,0.28,1-01410-0033,177 EAST 75 STREET,UPPER EAST SIDE (59-79),D6  -ELEVATOR,103,1962,"186,802","9,889,298",52.94,"3,390,456",18.15,"6,498,842","43,011,000",230.25,0.65
1-00576-7501,0003-R1,60 WEST 13 STREET,GREENWICH VILLAGE-CENTRAL,R4  -ELEVATOR,70,1966,"82,017","4,092,648",49.9,"1,599,332",19.5,"2,493,316","20,068,999",244.69,1-00573-0011,60 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D1  -ELEVATOR,27,1910,"20,797","1,052,536",50.61,"434,865",20.91,"617,671","4,749,000",228.35,0.14,1-00570-0008,6 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,54,1900,"49,408","2,465,459",49.9,"963,456",19.5,"1,502,003","13,222,000",267.61,0.15,1-00609-0053,115 WEST 13 STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,58,1910,"34,026","1,695,516",49.83,"706,380",20.76,"989,136","11,548,000",339.39,0.19
1-01271-7501,0007-R2,1360 6 AVENUE,MIDTOWN WEST,R4  -ELEVATOR,183,1963,"141,738","6,909,728",48.75,"2,019,767",14.25,"4,889,961","39,358,994",277.69,1-01379-0066,4 EAST 65 STREET,UPPER EAST SIDE (59-79),D3  -ELEVATOR,20,1915,"22,344","895,101",40.06,"247,125",11.06,"647,976","5,284,000",236.48,0.47,1-01046-0043,318 WEST 56 STREET,MIDTOWN WEST,D3  -ELEVATOR,68,1961,"54,400","2,652,000",48.75,"775,200",14.25,"1,876,800","9,155,000",168.29,0.52,1-01045-0054,350 WEST 55 STREET,MIDTOWN WEST,D3  -ELEVATOR,126,1912,"75,926","4,089,374",53.86,"1,191,279",15.69,"2,898,095","17,664,000",232.65,0.52
1-00894-7501,0009-R1,77 PARK AVENUE,MURRAY HILL,R4  -ELEVATOR,109,1924,"158,571","6,897,839",43.5,"2,882,821",18.18,"4,015,018","32,317,003",203.8,1-00865-0024,35 EAST 35 STREET,MURRAY HILL,D6  -ELEVATOR,136,1955,"132,955","4,883,437",36.73,"2,233,644",16.8,"2,649,793","26,117,000",196.43,0.18,1-00892-0001,41 PARK AVENUE,MURRAY HILL,D6  -ELEVATOR,119,1950,"115,221","5,035,158",43.7,"1,991,019",17.28,"3,044,139","29,234,000",253.72,0.1,1-00866-0035,40 PARK AVENUE,MURRAY HILL,D6  -ELEVATOR,160,1950,"153,398","6,672,813",43.5,"2,788,776",18.18,"3,884,037","31,599,000",205.99,0.14
1-01011-7501,0011-R1,160 CENTRAL PARK SOUTH,MIDTOWN WEST,R4  -ELEVATOR,182,1930,"187,345","10,215,923",54.53,"1,429,442",7.63,"8,786,481","70,721,997",377.5,1-01046-0043,318 WEST 56 STREET,MIDTOWN WEST,D3  -ELEVATOR,68,1961,"54,400","2,897,344",53.26,"477,088",8.77,"2,420,256","9,155,000",168.29,0.37,1-01045-0054,350 WEST 55 STREET,MIDTOWN WEST,D3  -ELEVATOR,126,1912,"75,926","4,431,801",58.37,"775,204",10.21,"3,656,597","17,664,000",232.65,0.39,1-01043-0005,369 WEST 52 STREET,MIDTOWN WEST,D5  -ELEVATOR,48,1940,"37,030","2,019,246",54.53,"282,539",7.63,"1,736,707","12,232,000",330.33,0.45
1-01287-7501,0013-R1,641 5 AVENUE,MIDTOWN CBD,R4  -ELEVATOR,226,1973,"477,801","26,145,271",54.72,"8,347,183",17.47,"17,798,088","143,255,967",299.82,1-01332-0029,240 EAST 59 STREET,MIDTOWN EAST,D6  -ELEVATOR,167,1983,"324,212","17,740,881",54.72,"5,663,984",17.47,"12,076,897","75,203,000",231.96,0.54,1-01422-0021,1283 2 AVENUE,UPPER EAST SIDE (59-79),D6  -ELEVATOR,181,1973,"348,130","18,614,511",53.47,"5,664,075",16.27,"12,950,436","75,626,000",217.23,0.89,1-01410-0033,177 EAST 75 STREET,UPPER EAST SIDE (59-79),D6  -ELEVATOR,103,1962,"186,802","11,536,892",61.76,"3,836,913",20.54,"7,699,979","43,011,000",230.25,1.23
1-01377-7501,0014-R1,817 5 AVENUE,UPPER EAST SIDE (59-79),R4  -ELEVATOR,16,1925,"58,566","2,400,620",40.99,"707,477",12.08,"1,693,143","13,628,001",232.69,1-01422-0021,1283 2 AVENUE,UPPER EAST SIDE (59-79),D6  -ELEVATOR,181,1973,"348,130","13,838,168",39.75,"3,787,654",10.88,"10,050,514","75,626,000",217.23,0.47,1-01332-0029,240 EAST 59 STREET,MIDTOWN EAST,D6  -ELEVATOR,167,1983,"324,212","13,289,450",40.99,"3,916,481",12.08,"9,372,969","75,203,000",231.96,0.44,1-01410-0033,177 EAST 75 STREET,UPPER EAST SIDE (59-79),D6  -ELEVATOR,103,1962,"186,802","8,973,968",48.04,"2,830,050",15.15,"6,143,918","43,011,000",230.25,0.71
1-01312-7501,0016-R1,117 EAST 57 STREET,MIDTOWN CBD,R4  -ELEVATOR,230,1975,"364,872","17,911,566",49.09,"6,224,716",17.06,"11,686,850","94,067,020",257.81,1-01332-0029,240 EAST 59 STREET,MIDTOWN EAST,D6  -ELEVATOR,167,1983,"324,212","15,915,567",49.09,"5,531,057",17.06,"10,384,510","75,203,000",231.96,0.21,1-01422-0021,1283 2 AVENUE,UPPER EAST SIDE (59-79),D6  -ELEVATOR,181,1973,"348,130","16,654,539",47.84,"5,521,342",15.86,"11,133,197","75,626,000",217.23,0.53,1-01410-0033,177 EAST 75 STREET,UPPER EAST SIDE (59-79),D6  -ELEVATOR,103,1962,"186,802","10,485,196",56.13,"3,760,324",20.13,"6,724,872","43,011,000",230.25,0.9
1-00631-7501,0018-R1,712 GREENWICH STREET,GREENWICH VILLAGE-WEST,R9  -CONDOPS,20,1910,"53,943","1,831,365",33.95,"590,676",10.95,"1,240,689","9,906,000",183.64,1-00632-0031,133 CHARLES STREET,GREENWICH VILLAGE-WEST,D5  -ELEVATOR,50,1896,"34,504","1,171,411",33.95,"377,819",10.95,"793,592","9,414,000",272.84,0.05,1-00631-0030,697 GREENWICH STREET,GREENWICH VILLAGE-WEST,D5  -ELEVATOR,53,1979,"51,200","1,732,096",33.83,"833,536",16.28,"898,560","13,294,000",259.65,0.06,1-00633-0013,326 WEST 11 STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,31,1920,"19,260","654,262",33.97,"188,748",9.8,"465,514","5,670,000",294.39,0.1
