"from","to","m","km","miles","seconds","minutes","hours"
"21 EAST 74 STREET NY","Manhattan south of 96th Street",3336,3.336,2.0729904,652,10.8666666666667,0.181111111111111
"355 GREENWICH STREET NY","Manhattan south of 96th Street",10089,10.089,6.2693046,1388,23.1333333333333,0.385555555555556
"8 WEST 65 STREET NY","Manhattan south of 96th Street",3181,3.181,1.9766734,705,11.75,0.195833333333333
"47 EAST 19 STREET NY","Manhattan south of 96th Street",8743,8.743,5.4329002,1450,24.1666666666667,0.402777777777778
"496 LA GUARDIA PLACE NY","Manhattan south of 96th Street",9770,9.77,6.071078,1433,23.8833333333333,0.398055555555556
"149 EAST 62 STREET NY","Manhattan south of 96th Street",4847,4.847,3.0119258,984,16.4,0.273333333333333
"26 WEST 97 STREET NY","Manhattan south of 96th Street",553,0.553,0.3436342,137,2.28333333333333,0.0380555555555556
"5420 WEST BROADWAY NY","Manhattan south of 96th Street",10301,10.301,6.4010414,1484,24.7333333333333,0.412222222222222
"77 HORATIO STREET NY","Manhattan south of 96th Street",8183,8.183,5.0849162,1193,19.8833333333333,0.331388888888889
"51 MERCER STREET NY","Manhattan south of 96th Street",10345,10.345,6.428383,1552,25.8666666666667,0.431111111111111
"1724 2 AVENUE NY","Manhattan south of 96th Street",3035,3.035,1.885949,699,11.65,0.194166666666667
"311 EAST 104 STREET NY","Manhattan south of 96th Street",3615,3.615,2.246361,820,13.6666666666667,0.227777777777778
"26 LUDLOW STREET NY","Manhattan south of 96th Street",13399,13.399,8.3261386,1632,27.2,0.453333333333333
"2 PRINCE STREET NY","Manhattan south of 96th Street",10600,10.6,6.58684,1662,27.7,0.461666666666667
"105 3 AVENUE NY","Manhattan south of 96th Street",18354,18.354,11.4051756,2064,34.4,0.573333333333333
"241 ELDRIDGE STREET NY","Manhattan south of 96th Street",12235,12.235,7.602829,1565,26.0833333333333,0.434722222222222
"169 EAST 102 STREET NY","Manhattan south of 96th Street",2441,2.441,1.5168374,578,9.63333333333333,0.160555555555556
"173 EAST 102 STREET NY","Manhattan south of 96th Street",2456,2.456,1.5261584,582,9.7,0.161666666666667
"65 NORTH MOORE STREET NY","Manhattan south of 96th Street",9972,9.972,6.1966008,1356,22.6,0.376666666666667
"348 EAST 89 STREET NY","Manhattan south of 96th Street",3158,3.158,1.9623812,742,12.3666666666667,0.206111111111111
"229 WEST 97 STREET NY","Manhattan south of 96th Street",524,0.524,0.3256136,206,3.43333333333333,0.0572222222222222
"186 EAST 2 STREET NY","Manhattan south of 96th Street",12142,12.142,7.5450388,1547,25.7833333333333,0.429722222222222
"211 EAST 3 STREET NY","Manhattan south of 96th Street",11998,11.998,7.4555572,1564,26.0666666666667,0.434444444444444
"217 EAST 5 STREET NY","Manhattan south of 96th Street",10914,10.914,6.7819596,1787,29.7833333333333,0.496388888888889
"75 ALLEN STREET NY","Manhattan south of 96th Street",13808,13.808,8.5802912,1637,27.2833333333333,0.454722222222222
"443 WEST 151 STREET NY","Manhattan south of 96th Street",5758,5.758,3.5780212,1023,17.05,0.284166666666667
"597 BROADWAY NY","Manhattan south of 96th Street",10242,10.242,6.3643788,1610,26.8333333333333,0.447222222222222
"828 7 AVENUE NY","Manhattan south of 96th Street",5425,5.425,3.371095,805,13.4166666666667,0.223611111111111
"151 EAST 20 STREET NY","Manhattan south of 96th Street",9966,9.966,6.1928724,1466,24.4333333333333,0.407222222222222
"240 EAST HOUSTON STREET NY","Manhattan south of 96th Street",12070,12.07,7.500298,1521,25.35,0.4225
"306 MOTT STREET NY","Manhattan south of 96th Street",10297,10.297,6.3985558,1563,26.05,0.434166666666667
"53 WEST 76 STREET NY","Manhattan south of 96th Street",2407,2.407,1.4957098,565,9.41666666666667,0.156944444444444
"513 HUDSON STREET NY","Manhattan south of 96th Street",8674,8.674,5.3900236,1234,20.5666666666667,0.342777777777778
